Dimension,Power,Time,Optimization
50,3000,0.766561,Ofast
50,3000,0.766170,Ofast
50,3000,0.767824,Ofast
50,3000,0.767455,Ofast
50,3000,0.766689,Ofast
50,3000,0.767095,Ofast
50,3000,0.766785,Ofast
50,3000,0.769518,Ofast
50,3000,0.766304,Ofast
50,3000,0.766181,Ofast
50,3000,0.766471,Ofast
50,3000,0.766193,Ofast
50,3000,0.766480,Ofast
50,3000,0.766360,Ofast
50,3000,0.767531,Ofast
50,4000,1.021491,Ofast
50,4000,1.021490,Ofast
50,4000,1.020856,Ofast
50,4000,1.020520,Ofast
50,4000,1.021445,Ofast
50,4000,1.022414,Ofast
50,4000,1.022808,Ofast
50,4000,1.021595,Ofast
50,4000,1.022272,Ofast
50,4000,1.021837,Ofast
50,4000,1.024157,Ofast
50,4000,1.022753,Ofast
50,4000,1.022426,Ofast
50,4000,1.022744,Ofast
50,4000,1.022385,Ofast
50,4000,1.021516,Ofast
50,4000,1.022463,Ofast
50,4000,1.020622,Ofast
50,4000,1.023953,Ofast
50,4000,1.022699,Ofast
50,4000,1.021291,Ofast
50,4000,1.021664,Ofast
50,4000,1.023169,Ofast
50,4000,1.022647,Ofast
50,4000,1.021567,Ofast
50,4000,1.022122,Ofast
50,4000,1.022371,Ofast
50,4000,1.021950,Ofast
50,4000,1.021970,Ofast
50,4000,1.022024,Ofast
50,5000,1.277170,Ofast
50,5000,1.276269,Ofast
50,5000,1.277924,Ofast
50,5000,1.276355,Ofast
50,5000,1.276409,Ofast
50,5000,1.277744,Ofast
50,5000,1.276873,Ofast
50,5000,1.277388,Ofast
50,5000,1.278200,Ofast
50,5000,1.278183,Ofast
50,5000,1.277982,Ofast
50,5000,1.276657,Ofast
50,5000,1.276843,Ofast
50,5000,1.278047,Ofast
50,5000,1.276158,Ofast
50,5000,1.277646,Ofast
50,5000,1.278318,Ofast
50,5000,1.276726,Ofast
50,5000,1.277761,Ofast
50,5000,1.277781,Ofast
50,5000,1.277425,Ofast
50,5000,1.277700,Ofast
50,5000,1.276883,Ofast
50,5000,1.277065,Ofast
50,5000,1.276839,Ofast
50,5000,1.275391,Ofast
50,5000,1.277959,Ofast
50,5000,1.277812,Ofast
50,5000,1.277960,Ofast
50,5000,1.278880,Ofast
50,6000,1.531967,Ofast
50,6000,1.529490,Ofast
50,6000,1.531381,Ofast
50,6000,1.532532,Ofast
50,6000,1.532711,Ofast
50,6000,1.532476,Ofast
50,6000,1.531469,Ofast
50,6000,1.533501,Ofast
50,6000,1.532798,Ofast
50,6000,1.532503,Ofast
50,6000,1.532685,Ofast
50,6000,1.532292,Ofast
50,6000,1.535552,Ofast
50,6000,1.532067,Ofast
50,6000,1.532095,Ofast
50,6000,1.531229,Ofast
50,6000,1.532751,Ofast
50,6000,1.533081,Ofast
50,6000,1.532683,Ofast
50,6000,1.531525,Ofast
50,6000,1.537422,Ofast
50,6000,1.532091,Ofast
50,6000,1.532130,Ofast
