Dimension,Power,Time (Seconds)
50,500,0.205658
50,500,0.203581
50,600,0.249096
50,600,0.248717
50,600,0.245950
50,600,0.247130
50,600,0.249124
50,600,0.249317
50,600,0.247666
50,600,0.242576
50,600,0.247098
50,600,0.246592
50,600,0.247152
50,600,0.246176
50,600,0.245374
50,600,0.249218
50,600,0.246634
50,600,0.248473
50,600,0.246058
50,600,0.249927
50,600,0.249255
50,600,0.245565
50,600,0.247823
50,600,0.249031
50,600,0.247530
50,600,0.246923
50,600,0.250056
50,600,0.250465
50,600,0.246185
50,600,0.247358
50,600,0.244801
50,600,0.247396
50,700,0.291935
50,700,0.289492
50,700,0.289219
50,700,0.289324
50,700,0.291271
50,700,0.288028
50,700,0.292516
50,700,0.290529
50,700,0.286236
50,700,0.284516
50,700,0.291067
50,700,0.293997
50,700,0.296557
50,700,0.287857
50,700,0.291210
50,700,0.292093
50,700,0.288446
50,700,0.286111
50,700,0.290095
50,700,0.285929
50,700,0.285984
50,700,0.283971
50,700,0.290213
50,700,0.290607
50,700,0.291424
50,700,0.293734
50,700,0.287959
50,700,0.288845
50,700,0.287117
50,700,0.288762
50,800,0.328309
50,800,0.329361
50,800,0.322479
50,800,0.338651
50,800,0.327238
50,800,0.331370
50,800,0.329748
50,800,0.326229
50,800,0.333363
50,800,0.327533
50,800,0.337954
50,800,0.331388
50,800,0.340713
50,800,0.330764
50,800,0.330175
50,800,0.336258
50,800,0.327828
50,800,0.333444
50,800,0.329900
50,800,0.330570
50,800,0.330629
50,800,0.334928
50,800,0.331001
50,800,0.329890
50,800,0.328603
50,800,0.329534
50,800,0.328967
50,800,0.328939
50,800,0.324931
50,800,0.330252
50,900,0.374355
50,900,0.371484
50,900,0.372495
50,900,0.372686
50,900,0.372231
50,900,0.367011
50,900,0.373720
50,900,0.372319
50,900,0.374872
50,900,0.371698
50,900,0.372299
50,900,0.375829
50,900,0.368680
50,900,0.375774
50,900,0.375834
50,900,0.369320
50,900,0.369759
50,900,0.371064
50,900,0.381699
50,900,0.373320
50,900,0.374871
50,900,0.373320
50,900,0.374343
50,900,0.371415
50,900,0.369367
50,900,0.371399
50,900,0.370696
50,900,0.373821
50,900,0.375256
50,900,0.371625
50,1000,0.419570
50,1000,0.412186
50,1000,0.415292
50,1000,0.411173
50,1000,0.413900
50,1000,0.413981
50,1000,0.415302
50,1000,0.412156
50,1000,0.418505
50,1000,0.411553
50,1000,0.416214
50,1000,0.414413
50,1000,0.414593
50,1000,0.412678
50,1000,0.418171
50,1000,0.414968
50,1000,0.417743
50,1000,0.413625
50,1000,0.418419
50,1000,0.411690
50,1000,0.412862
50,1000,0.409802
50,1000,0.412872
50,1000,0.414717
50,1000,0.413499
50,1000,0.412593
50,1000,0.418780
50,1000,0.417396
50,1000,0.419287
50,1000,0.408367
50,2000,0.831295
50,2000,0.819064
50,2000,0.828340
50,2000,0.826768
50,2000,0.827120
50,2000,0.825158
50,2000,0.824168
50,2000,0.824893
50,2000,0.820792
50,2000,0.829571
50,2000,0.829229
50,2000,0.821446
50,2000,0.824147
50,2000,0.822888
50,2000,0.824666
50,2000,0.822387
50,2000,0.823343
50,2000,0.820202
50,2000,0.834441
50,2000,0.823008
50,2000,0.826519
50,2000,0.831301
50,2000,0.816753
50,2000,0.823967
50,2000,0.832457
50,2000,0.820804
50,2000,0.828866
50,2000,0.819476
50,2000,0.824399
50,2000,0.823633
50,3000,1.238253
50,3000,1.226816
50,3000,1.230688
50,3000,1.250599
50,3000,1.234281
50,3000,1.234684
50,3000,1.240600
50,3000,1.238163
50,3000,1.234140
50,3000,1.232856
50,3000,1.244195
50,3000,1.231665
50,3000,1.221659
50,3000,1.224991
50,3000,1.239801
50,3000,1.238316
50,3000,1.229879
50,3000,1.229557
50,3000,1.229221
50,3000,1.235814
50,3000,1.238762
50,3000,1.237041
50,3000,1.237969
50,3000,1.241813
50,3000,1.232627
50,3000,1.234045
50,3000,1.240725
50,3000,1.229908
50,3000,1.231850
50,3000,1.232701
50,4000,1.647538
50,4000,1.659367
50,4000,1.667256
50,4000,1.658859
50,4000,1.650957
50,4000,1.646983
50,4000,1.654518
50,4000,1.649822
50,4000,1.640656
50,4000,1.655739
50,4000,1.654088
50,4000,1.635670
50,4000,1.658457
50,4000,1.656942
50,4000,1.653950
50,4000,1.652417
50,4000,1.640775
50,4000,1.663125
50,4000,1.651154
50,4000,1.655769
50,4000,1.662362
50,4000,1.651525
50,4000,1.659280
50,4000,1.648732
50,4000,1.670838
50,4000,1.661154
50,4000,1.652715
50,4000,1.640513
50,4000,1.646641
50,4000,1.642237
50,5000,2.051289
50,5000,2.074298
50,5000,2.060147
50,5000,2.054758
50,5000,2.064169
50,5000,2.050377
50,5000,2.055490
50,5000,2.049589
50,5000,2.046767
50,5000,2.057698
50,5000,2.071951
50,5000,2.071159
50,5000,2.064087
50,5000,2.056423
50,5000,2.074871
50,5000,2.068740
50,5000,2.060971
50,5000,2.065395
50,5000,2.066927
50,5000,2.059953
50,5000,2.063475
50,5000,2.060882
50,5000,2.058843
50,5000,2.052995
50,5000,2.051428
50,5000,2.069262
50,5000,2.059969
50,5000,2.046605
50,5000,2.052894
50,5000,2.055174
50,6000,2.456387
50,6000,2.461467
50,6000,2.475233
50,6000,2.462017
50,6000,2.469544
50,6000,2.477926
50,6000,2.464266
50,6000,2.458393
50,6000,2.472571
50,6000,2.465324
50,6000,2.475699
50,6000,2.472717
50,6000,2.457230
50,6000,2.464778
50,6000,2.461053
50,6000,2.459648
50,6000,2.463202
50,6000,2.460267
50,6000,2.466516
50,6000,2.473530
50,6000,2.476194
50,6000,2.464519
50,6000,2.490840
50,6000,2.493194
50,6000,2.478348
50,6000,2.470291
50,6000,2.484691
50,6000,2.521795
50,6000,2.510559
50,6000,2.530369
50,7000,2.923042
50,7000,2.923903
50,7000,2.905395
50,7000,2.933797
50,7000,2.910399
50,7000,2.903490
50,7000,2.915326
50,7000,2.882123
50,7000,2.878445
50,7000,2.894825
50,7000,2.877606
50,7000,2.877753
50,7000,2.875891
50,7000,2.877007
50,7000,2.879225
50,7000,2.889013
50,7000,2.899183
50,7000,2.875693
50,7000,2.877472
50,7000,2.874531
50,7000,2.870418
50,7000,2.877495
50,7000,2.880966
50,7000,2.879856
50,7000,2.893249
50,7000,2.877708
50,7000,2.886265
50,7000,2.878319
50,7000,2.889440
50,7000,2.897111
50,8000,2.865821
50,8000,3.237318
50,8000,3.298899
50,8000,3.114794
50,8000,3.229657
50,8000,3.125836
50,8000,3.131224
50,8000,3.032834
50,8000,3.166453
50,8000,3.155561
50,8000,3.338886
50,8000,3.277238
50,8000,3.296825
50,8000,3.298785
50,8000,3.287174
50,8000,3.277198
50,8000,3.287031
