Dimension,Power,Time (Seconds)
50,10000,2.249582
50,10000,2.258611
50,10000,2.264498
50,10000,2.262428
50,10000,2.225262
50,10000,2.246404
50,10000,2.236685
50,10000,2.262471
50,10000,2.252061
50,10000,2.264524
50,10000,2.225394
50,10000,2.272176
50,10000,2.221151
50,10000,2.306635
50,10000,2.231140
50,10000,2.259230
50,10000,2.267800
50,10000,2.297053
50,10000,2.290301
50,10000,2.271291
50,10000,2.268412
50,10000,2.267201
50,10000,2.289891
50,10000,2.248737
50,10000,2.218382
